step,strategy,forecast_requests,target_instances,incoming_requests,processed_requests,throughput,queue_length,active_instances,total_capacity,estimated_latency_ms,estimated_p95_latency_ms,infrastructure_cost,sla_violations
66,Optimization,,2,116,116,1.9333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
67,Optimization,,2,115,115,1.9166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
68,Optimization,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
69,Optimization,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
70,Optimization,,2,107,107,1.7833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
71,Optimization,,2,109,109,1.8166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
72,Optimization,,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
73,Optimization,,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
74,Optimization,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
75,Optimization,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
76,Optimization,,2,117,117,1.95,0,2,200,50.0,75.0,0.03333333333333333,0
77,Optimization,,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
78,Optimization,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
79,Optimization,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
80,Optimization,,2,126,126,2.1,0,2,200,50.0,75.0,0.03333333333333333,0
81,Optimization,,2,115,115,1.9166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
82,Optimization,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
83,Optimization,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
84,Optimization,,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
85,Optimization,,2,127,127,2.1166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
86,Optimization,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
87,Optimization,,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
88,Optimization,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
89,Optimization,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
90,Optimization,,2,130,130,2.1666666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
91,Optimization,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
92,Optimization,,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
93,Optimization,,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
94,Optimization,,2,107,107,1.7833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
95,Optimization,,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
96,Optimization,,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
97,Optimization,,2,114,114,1.9,0,2,200,50.0,75.0,0.03333333333333333,0
98,Optimization,,2,129,129,2.15,0,2,200,50.0,75.0,0.03333333333333333,0
99,Optimization,,2,116,116,1.9333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
100,Optimization,,2,121,121,2.0166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
101,Optimization,,2,138,138,2.3,0,2,200,50.0,75.0,0.03333333333333333,0
102,Optimization,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
103,Optimization,,2,133,133,2.216666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
104,Optimization,,2,116,116,1.9333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
105,Optimization,,2,124,124,2.066666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
106,Optimization,,2,116,116,1.9333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
107,Optimization,,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
108,Optimization,,2,135,135,2.25,0,2,200,50.0,75.0,0.03333333333333333,0
109,Optimization,,2,109,109,1.8166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
110,Optimization,,2,131,131,2.183333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
111,Optimization,,2,129,129,2.15,0,2,200,50.0,75.0,0.03333333333333333,0
