step,strategy,forecast_requests,target_instances,incoming_requests,processed_requests,throughput,queue_length,active_instances,total_capacity,estimated_latency_ms,estimated_p95_latency_ms,infrastructure_cost,sla_violations
66,Reactive,,2,116,116,1.9333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
67,Reactive,,2,115,115,1.9166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
68,Reactive,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
69,Reactive,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
70,Reactive,,2,107,107,1.7833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
71,Reactive,,2,109,109,1.8166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
72,Reactive,,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
73,Reactive,,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
74,Reactive,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
75,Reactive,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
76,Reactive,,2,117,117,1.95,0,2,200,50.0,75.0,0.03333333333333333,0
77,Reactive,,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
78,Reactive,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
79,Reactive,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
80,Reactive,,2,126,126,2.1,0,2,200,50.0,75.0,0.03333333333333333,0
81,Reactive,,2,115,115,1.9166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
82,Reactive,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
83,Reactive,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
84,Reactive,,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
85,Reactive,,2,127,127,2.1166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
86,Reactive,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
87,Reactive,,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
88,Reactive,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
89,Reactive,,2,128,128,2.1333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
90,Reactive,,2,130,130,2.1666666666666665,0,2,200,50.0,75.0,0.03333333333333333,0
91,Reactive,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
92,Reactive,,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
93,Reactive,,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
94,Reactive,,2,107,107,1.7833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
95,Reactive,,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
96,Reactive,,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
97,Reactive,,2,114,114,1.9,0,2,200,50.0,75.0,0.03333333333333333,0
98,Reactive,,2,129,129,2.15,0,2,200,50.0,75.0,0.03333333333333333,0
99,Reactive,,2,116,116,1.9333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
100,Reactive,,2,121,121,2.0166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
